Subject,Song Title,Artists,YouTube URL,Video Type,Error
Most Streamed (Spotify) Songs Released in 2025,Ordinary,Alex Warren,https://www.youtube.com/watch?v=u2ah9tWTkmk,Official Video,
Most Streamed (Spotify) Songs Released in 2025,DtMF,Bad Bunny,https://www.youtube.com/watch?v=v9T_MGfzq7I,Official Video,
Most Streamed (Spotify) Songs Released in 2025,Golden,HUNTR/X,https://www.youtube.com/watch?v=yebNIHKAC4A,Official Music Video,
Most Streamed (Spotify) Songs Released in 2025,BAILE INoLVIDABLE,Bad Bunny,https://www.youtube.com/watch?v=a1Femq4NPxs,Video Oficial,
Most Streamed (Spotify) Songs Released in 2025,The Fate of Ophelia,Taylor Swift,https://www.youtube.com/watch?v=ko70cExuzZM,Official Music Video,
Most Streamed (Spotify) Songs Released in 2025,NUEVAYoL,Bad Bunny,https://www.youtube.com/watch?v=KU5V5WZVcVE,Video Oficial,
Most Streamed (Spotify) Songs Released in 2025,La Plena,W Sound (Beéle Westcol Ovy On The Drums),https://www.youtube.com/watch?v=F1_aOX0acbY,Official Video,
Most Streamed (Spotify) Songs Released in 2025,EoO,Bad Bunny,https://www.youtube.com/watch?v=myDIeOjqQos,Visualizer,
Most Streamed (Spotify) Songs Released in 2025,Don't Say You Love Me,Jin,https://www.youtube.com/watch?v=o7BcyAd6rqg,Official MV,
Most Streamed (Spotify) Songs Released in 2025,VOY A LLeVARTE PA PR,Bad Bunny,https://www.youtube.com/watch?v=X2MGCIDOMZ4,Official Video,
Most Streamed (Spotify) Songs Released in 2025,undressed,sombr,https://www.youtube.com/watch?v=z0wT6CrEGYg,Official Video,
Most Streamed (Spotify) Songs Released in 2025,Man I Need,Olivia Dean,https://www.youtube.com/watch?v=oIv_Y2RPQ_A,Official Video,
Most Streamed (Spotify) Songs Released in 2025,VeLDÁ,Bad Bunny ft. Omar Courtz & Dei V,https://www.youtube.com/watch?v=yNEpyU3PnDI,Official Video,
Most Streamed (Spotify) Songs Released in 2025,like JENNIE,JENNIE,https://www.youtube.com/watch?v=JSFG-IE8n_c,Official Video,
Most Streamed (Spotify) Songs Released in 2025,Sports car,Tate McRae,https://www.youtube.com/watch?v=7InTkBxPtK4,Official Video,
